Product Name,Cleaned Description
Cloud Secure Agent,informatica cloud secure agent lightweight program runs tasks enables secure communication across firewall organization informatica intelligent cloud services
MicroStrategy BI Platform,microstrategy platform supports interactive dashboards scorecards highly formatted reports ad hoc query thresholds alerts automated report distribution data discovery pixelperfect reporting automated distribution personalized dashboards machine learning applications big data mobile cloud bi hyperintelligence microstrategy offers one platform digital transformation covers
Signature Services,signature services package key services including limited consulting customer success education services support designed support customer building successful foundation delivery qlik deployments
VizLib,vizlib fully supported thirdparty visualisation component library developed exclusively qlik sense top powerful qlik engine api provide added features capabilities new visualisations enrich qlik sense user experience apps functionality
PowerCenter Connector,informatica powercenter powerconnect adapters enterprise data integration platform accessing discovering integrating data different business systems
FiveTran Essential Platform,fivetran cloudbased business intelligence solution caters needs analysts data engineers business intelligence teams
Server,alteryx server helps govern analytic workflow processes models data help scheduled reporting dashboarding full access control policies builtin
ThoughtSpot,bi tool used search based analytics business intelligence analytics search software
Hyperion BI Analysis Fee,hyperion bi development analysis fee support wireless bb public sector reporting tables
Domo Business Cloud,domo business cloud lets integrate data source turn data live visualizations extend bi apps empower team data domo inc cloudbased platform designed provide direct simplified realtime access business data decision makers across company minimal involvement softwareasaservice saas venture domo integrates multiple data sources including spreadsheets databases social media cloudbased onpremise software programs
Looker Analytics,analytics platform lets everyone business make informed decisions looker business intelligence platform active agile collaborative built extend data discovery functionality everyone organization make decisions based realtime facts
Firehose,amazon kinesis data firehose fully managed service delivering realtime streaming data destinations amazon simple storage service
Glue,aws glue fully managed extract transform load etl service makes easy customers prepare load data analytics
Mobile Analytics,amazon mobile analytics service lets easily collect visualize understand app usage data scale
Hadoop,apache hadoop collection opensource software utilities facilitate using network many computers solve problems involving massive amounts data computation big data product
Spark,spark called general purpose distributed data processing engine lightning fast unified analytics engine big data machine learning lets process big data sets faster splitting work chunks assigning chunks across computational resources opensource
Superset,apache superset opensource software application data exploration data visualization able handle large amounts data
DataFlow Platform,cloudera dataflow cdf scalable realtime streaming data platform ingests curates analyzes data key insights immediate actionable intelligence dataflow addresses following challenges processing realtime data streaming high volume high scale tracking data provenance lineage streaming data managing monitoring edge applications streaming sources gaining realtime insights actionable intelligence streaming data
Hortonworks Data Platform (HDP),cloudera enterprise data hub hortonworks data platform hdp open source framework distributed storage processing large multisource data sets hdp modernizes infrastructure keeps data securein cloud onpremiseswhile helping drive new revenue streams improve customer experience control costs
Data Modeler,erwin data modeler erwin dm awardwinning data modeling tool used find visualize design deploy standardize highquality enterprise data assets erwin data modeler industryleading data modeling solution provides simple visual interface manage complex data environment previously known fusion data modeler
Web Portal,erwin web portal provides simple customizable webbased interface allows business technical users across organization easily visualize important metadata information stored erwin data modeler beyond erwin dm web portal selfservice collaboration tool enables business technical users easily discover visualize understand data sources structures architecture drive organization authorized stakeholders access easily navigate metadata annotated diagrams stored within erwin data modeler dm integrated view data landscape increase data fluency effectively collaborate strategic decisionmaking
Data Quality,informatica data quality uses informatica applications create objects save objects model repository run mappings profiling key step data project identify strengths weaknesses data help define project plan create scorecards review data quality informatica data quality ensures teams across lines business easily deploy data quality workloads realtime web services batch big data right deployment model right use case matter type initiative organization working informatica data quality
PowerCenter,informatica powercenter widely used extraction transformation loading etl tool used building enterprise data warehouses components within informatica powercenter aid extracting data source transforming per business requirements loading target data warehouse
PowerExchange,powerexchange family products enables organization retrieve sources enterprise data without develop custom dataaccess accessing missioncritical operational data stored delivering
Test Data Management (TDM),testers create test data sets onpremises cloud repositories using real data cloned production includes test data management peoplesoft application accelerator test data management sap application accelerator test data management siebel application accelerator
