Product Name,final_text
Cloud Secure Agent,informatica secure agent lightweight program run task enables secure communication across firewall organization informatica intelligent
MicroStrategy BI Platform,microstrategy support interactive dashboard scorecard highly formatted report ad hoc query threshold alert automated report distribution discovery pixelperfect reporting automated distribution personalized dashboard machine learning application big mobile bi hyperintelligence microstrategy offer one digital transformation cover
Signature Services,signature package key including limited consulting customer success education support designed support customer building successful foundation delivery qlik deployment
VizLib,vizlib fully supported thirdparty visualisation component library developed exclusively qlik sense top powerful qlik engine api provide added feature capability new visualisation enrich qlik sense user experience apps functionality
PowerCenter Connector,informatica powercenter powerconnect adapter enterprise integration accessing discovering integrating different system
FiveTran Essential Platform,fivetran cloudbased intelligence caters need analyst engineer intelligence team
Server,alteryx server help govern analytic workflow process model help scheduled reporting dashboarding full access control policy builtin
ThoughtSpot,bi tool used search based analytics intelligence analytics search software
Hyperion BI Analysis Fee,hyperion bi development analysis fee support wireless bb public sector reporting table
Domo Business Cloud,domo let integrate source turn live visualization extend bi apps empower team domo inc cloudbased designed provide direct simplified realtime access decision maker across company minimal involvement softwareasaservice saas venture domo integrates multiple source including spreadsheet database social medium cloudbased onpremise software program
Looker Analytics,analytics let everyone make informed decision looker intelligence active agile collaborative built extend discovery functionality everyone organization make decision based realtime fact
Firehose,amazon kinesis firehose fully managed service delivering realtime streaming destination amazon simple storage service
Glue,aws glue fully managed extract transform load etl service make easy customer prepare load analytics
Mobile Analytics,amazon mobile analytics service let easily collect visualize understand app usage scale
Hadoop,apache hadoop collection opensource software utility facilitate using network many computer solve problem involving massive amount computation big product
Spark,spark called general purpose distributed processing engine lightning fast unified analytics engine big machine learning let process big set faster splitting work chunk assigning chunk across computational resource opensource
Superset,apache superset opensource software application exploration visualization able handle large amount
DataFlow Platform,cloudera dataflow cdf scalable realtime streaming ingests curate analyzes key insight immediate actionable intelligence dataflow address following challenge processing realtime streaming high volume high scale tracking provenance lineage streaming managing monitoring edge application streaming source gaining realtime insight actionable intelligence streaming
Hortonworks Data Platform (HDP),cloudera enterprise hub hortonworks hdp open source framework distributed storage processing large multisource set hdp modernizes infrastructure keep securein onpremiseswhile helping drive new revenue stream improve customer experience control cost
Data Modeler,erwin modeler erwin dm awardwinning modeling tool used find visualize design deploy standardize highquality enterprise asset erwin modeler industryleading modeling provides simple visual interface manage complex environment previously known fusion modeler
Web Portal,erwin web portal provides simple customizable webbased interface allows technical user across organization easily visualize important metadata information stored erwin modeler beyond erwin dm web portal selfservice collaboration tool enables technical user easily discover visualize understand source structure architecture drive organization authorized stakeholder access easily navigate metadata annotated diagram stored within erwin modeler dm integrated view landscape increase fluency effectively collaborate strategic decisionmaking
Data Quality,informatica quality us informatica application create object save object model repository run mapping profiling key step project identify strength weakness help define project plan create scorecard review quality informatica quality ensures team across line easily deploy quality workload realtime web batch big right deployment model right use case matter type initiative organization working informatica quality
PowerCenter,informatica powercenter widely used extraction transformation loading etl tool used building enterprise warehouse component within informatica powercenter aid extracting source transforming per requirement loading target warehouse
PowerExchange,powerexchange family product enables organization retrieve source enterprise without develop custom dataaccess accessing missioncritical operational stored delivering
Test Data Management (TDM),tester create test set onpremises repository using real cloned production includes test management peoplesoft application accelerator test management sap application accelerator test management siebel application accelerator
Test Data Management,kview test management quickly provision test subset referential integrity number production source based userdefined rule testing team spend le time retrieving preparing test complete testing quickly higher quality
Advanced Data Integration (ADI),kview software company provides dataasservice enables enterprise access want real time simplified format fit purpose shift transformation fast lane kview adi let flexibly sync source target microdatabases providing full realtime control frequency syncing
Data Fabric,kview fabric easily connects virtually source organizes around matter customer store transaction product store secure microdatabases expose realtime device application service keeping continuously refreshed kview software company provides dataasservice enables enterprise access want real time simplified format fit purpose shift transformation fast lane
KYVOS Enterprise,kyvos intelligence acceleration big platform developed american privately held company named kyvos insight
Logi Info,logi analytics intelligence bi provides selfservice analytics tool business embedded directly application employee use every day key feature include dashboard blending associate filtering
Vertica,columnar storage thats designed handle large volume enables fast query performance traditionally intensive scenario
MicroStrategy Collaboration,microstrategy support interactive dashboard scorecard highly formatted report ad hoc query threshold alert automated report distribution
Oracle Business Intelligence Enterprise Edition (OBIEE+),oracle intelligence suite enterprise edition obiee innovative comprehensive bi delivers full range bi capability nextgeneration architecture designed true enterprise deployment
Spectrum Technology Platform,spectrum technology modular software master management handle processing integration quality analytics governance synchronizing repository providing
Enterprise Stack,grafana enterprise includes access enterprise plugins take existing source allow drop right grafana mean get best complex expensive monitoring solution database visualizing easier effective way grafana open source running analytics pulling metric make sense massive amount monitor apps help cool customizable dashboard apm
"Business Objects BI Suite, analytics edition",sap businessobjects bi sap bo also historically bobj reporting analytics intelligence bi aimed user consists number reporting application allow user discover perform analysis derive insight create report visualize insight
Einstein Analytics,sale einstein science department learns team sale activity crm help identify best lead convert opportunity efficiently retain customer ease sale einstein also includes sale analytics app inbox
Tableau Server,tableau software intelligence visualization tool help analyse report huge amount desired information tableau powerful fastest growing visualization tool used intelligence industry help simplifying raw easily understandable format analysis fast tableau visualization created form dashboard worksheet acquired salesforce
SISENSE Platform,sisense intelligence tool simplifying complex preparation analysis visualize complex stunning dashboard
Dundas Data Visualization,dundas bi exceptionally flexible endtoend intelligence simplifies entire analytics process empowers everyone visualize analyze
Heavy.AI Enterprise,take nomovement approach accessing warehouse lake enterprise database point datasets make readily available query analysis exploration without loading directly heavydb heavyconnect intelligently capture change connection account difference db sqlbased relational columnar database engine specifically developed harness massive parallelism modern gpu cpu hardware query billion row millisecond capable unprecedented ingestion speed making ideal sql engine era big highvelocity
Spatial Data Catalog,browse spatial catalog discover thousand public premium datasets enrich discover observatory enables scientist analyst developer save time gathering cleaning
KORE BOTS Platform,koreai bot provides secure scalable superior endtoend design built test deploy aipowered chatbots koreai bot kore bot license use ai customerservice assistant create personalized customer experience across voice digital channel respond deflect complex query high degree accuracy automate interaction improve net promoter score
Easy View,robot provides exceptional automation solution every ibm environment
Crystal Ball,oracle crystal ball leading spreadsheetbased application predictive modeling forecasting simulation optimization give unparalleled insight critical factor affecting risk
Comprehend,amazon comprehend naturallanguage processing nlp service us machine learning uncover valuable insight connection text
Polly,amazon polly service turn text lifelike speech allowing create application talk build entirely new category speechenabled product pollys texttospeech tt service us advanced deep learning technology synthesize natural sounding human speech
Transcribe,amazon transcribe automatic speech recognition asr service make easy developer add speechtotext capability application
Datacap,ibm datacap help streamline capture recognition classification document extract important information natural language processing text analytics machine learning technology automatically identify classify extract content unstructured variable document
Watson,ibm watson analytics processor us natural language processing technology analyzes human speech meaning syntax ibm watson performs analytics vast repository process answer humanposed question often fraction second
IQ Bot,iq bot enables organization automate humancentric process involving field pattern intelligent iq bot learn process studying human behavior becoming accurate faster virtually foolproof reducing human processing cost
Enterprise AI,datarobot enables analyst build predictive analytics knowledge machine learning programming us automated ml build deploy accurate predictive model short span time
ASAPP,asapp artificial intelligence company change way people large organization communicate company created asynchronous messaging allows organization people interact way one another service software license agreement subscription asapp replace incumbent nuance providing social chat customer interaction cmb agent
Enterprise RPA Platform,server control automation anywhere bot apart control room deal user management source control code bot managed control room
Data Science Platform,domino science workbench provides flexibility power scientist need accelerate research make breakthrough deliver real impact domino capture science work central repository team easily find reproduce reuse work gone day scientist starting project scratch find another team member working problem instead knowledge compounded reusable code artifact learning previous experiment integrated project management capability ability replicate development environment empowers enable multicloud science strategic adoption kubernetes domino enables forwardlooking organization streamline enhance science infrastructure scalable multicloud support top industryleading orchestrator sow domino shall provide advisory customer install configure two kubernetes cluster domino customer infrastructure
Desktop and Process Analytics,verint advanced desktop analytics capture event employee desktop understanding employee use software application perform work provides visibility identifying top performer volume activity process flow contact centre back office branch
Interaction Data Platform,verint interaction analytics proven powerful solution help listen analyze act voice customer
Designer,alteryx designer empowers analyst combining preparation blending analytics predictive statistical spatial using intuitive user interface alteryx designer window software application provides intuitive dragand drop user interface user create repeatable workflow process user drag tool toolbox onto canvas connect together edit property create alteryx workflow apps macro spatial category includes tool offer spatial manipulation processing object editing intuitive workflow allows visually bring several set geocode combine spatially source like tomtom u census even enrich demographic alteryx make turning traditional geospatial easy scientist required
SAS Suite,sa previously statistical analysis system statistical software suite developed sa institute management advanced analytics multivariate analysis intelligence criminal investigation predictive analytics
Cognos,ibm cognos intelligence webbased integrated intelligence suite ibm provides toolset reporting analytics scorecarding monitoring event metric software consists several component designed meet different information requirement company
ICP4D,ibm private new kind analytics builtin governance simplifies unifies collect organize analyze accelerate value science ai
Infosphere,ibm infosphere datastage etl tool part ibm information platform solution suite ibm infosphere us graphical notation construct integration solution available various version server edition enterprise edition mv edition
PureData,ibm puredata system analytics powered netezza technology simple appliance serious analytics simplifies optimizes performance analytic application enabling complex algorithm run minute hour
QMF,ibm db query management facility qmf zos analytics software developed ibm originally created reporting interface ibm db zos database used generate report decision
SPSS Platform,ibm spss software offer advanced statistical analysis vast library machine learning algorithm text analysis opensource extensibility integration big seamless deployment application ibm spss statistic powerful statistical software offer userfriendly interface robust set feature let organization quickly extract actionable insight advanced statistical procedure help ensure high accuracy quality decision making facet analytics lifecycle included preparation management analysis reporting
Trillium,trillium software system tss consumable single managing quality designed intuitive easytouse professional yet powerful enough handle challenging quality issue precisely trillium rapidly transforms tangled trusted information support datadriven initiative across organization versatile single provides flexible deployment option batch realtime quality support rapidly changing need source enterprise infrastructure
Cloudera Data Platform (CDP),cloudera cdp hybrid designed unmatched freedom chooseany analytics cdp delivers faster easier management analytics anywhere optimal performance scalability security cdp get advantage cdp private cdp public faster time value increased control combine cdh
Power BI,power bi analytics service microsoft aim provide interactive visualization intelligence capability interface simple enough end user create report dashboard power bi collection software apps connector work together turn unrelated source coherent visually immersive interactive insight may excel spreadsheet collection cloudbased onpremises hybrid warehouse
Open Studio for Data Integration,talend open studio begin building basic pipeline time execute simple etl integration task get graphical profile manage file locally installed opensource environment control includes talend big acquired qlik
Open Studio for Data Integration,talend open studio begin building basic pipeline time execute simple etl integration task get graphical profile manage file locally installed opensource environment control includes talend big acquired qlik
Web Focus,part latest development tibco webfocus software new immersive responsive webfocus hub start page allows access every type device navigation area capability download datasheet learn new feature user control experience manage organize content way want need
Hyperion,oracle hyperion planning centralized planning budgeting forecasting integrates financial operational planning process improves predictability hyperion division oracle thats known corporate performance management cpm intelligence system hyperion portfolio includes product financial management budgeting planning forecasting bpf financial reporting database management financial consolidation treasury management analytics
Collibra Platform (data Intelligence Cloud),collibra governance center collibra enterpriseoriented governance provides tool management stewardship software allows enterprise organize manage asset related policy rule collibra empowers enterprise find meaning improve quality decision one shared user collaborate create datadriven organization using suite collibra product current intelligence includes catalog governance
Virtual Workspace,citrix workspace digital workspace delivers secure unified access apps desktop content resource anywhere device resource virtual apps desktop content apps local mobile apps saas web apps browser apps
Virtual App and Desktop,citrix virtual apps desktop virtualization solution give control virtual machine application licensing security providing anywhere access device
Virtual App and Desktop,citrix virtual apps desktop virtualization solution give control virtual machine application licensing security providing anywhere access device
Stormboard,stormboard allinone online whiteboard tool highperforming team hold meeting monitor project get work done every day matter locateddown hall different building somewhere else world
Jive,jive software enterprise social networkingsoftware vendor based palo alto california company flagship product jive social offer facebooklike interface organization employee use brainstorm collaborate share information
Mattermost Platform,mattermost opensource selfhostable online chat service file sharing search integration designed internal chat organisation company mostly market opensource alternative slack microsoft team
EMS Workplace,purchased em google calendar google extension phase google integration room reservation
Webcaster,webcaster unlimited selfservice enterprise webcasting optimized meeting participant pure cloudbased webcaster transforms usage cost paradigm offer complete proven combine high quality audio engaging video interactive user experienceand consistent service delivery enterprisewide result exceptional webcasting experience every time every one one low annual cost webcaster technology work viewer arent distracted quality issue impact message come across clearly
Meetings & Incentives Worldwide Managed Services,sow contractor support cvent meeting event management software
Cvent Meetings and Events Enterprise,suite ondemand software tool enables organization communicate aggregate efficiently attendee management site selection tool meeting management
Google Chromebox,google chromebox license meeting software management support
Jamboard,management license jamboard device digital whiteboard whiteboard work
Slido Enterprise,qa polling meeting event
Tag Manager 360,google tag manager give simple reliable tag management integrates system youre already using customization feature allow adapt tag manager suit exact need youll able launch tag faster make swifter better decision use
Doubledutch (Event CMS),event content management system upload content react attendee realtime provides insight
WebEx,webex meeting let host online meeting hd video audio screen sharing
Google Workspace (G Suite ),g suite google workspace suite computing productivity collaboration tool software product developed google
Connections,hcl connection issocial networking software designed workplace
